Tim Burton,director 
James Marshall,director 
Gandja Monteiro,director 
Charles Addams,based on characters created by 
Alfred Gough,writer  
Miles Millar,writer  
Kayla Alpert,writer  
April Blair,writer  
Matt Lambert,writer  
Jenna Ortega,actor/actress: Wednesday Addams 
Gwendoline Christie,actor/actress: Principal Larissa Weems 
Riki Lindhome,actor/actress: Dr. Valerie Kinbott 
Emma Myers,actor/actress: Enid Sinclair 
Joy Sunday,actor/actress: Bianca Barclay 
Naomi J. Ogawa,actor/actress: Yoko Tanaka 
Christina Ricci,actor/actress: Marilyn Thornhill 
Jamie McShane,actor/actress: Sheriff Donovan Galpin 
Hunter Doohan,actor/actress: Tyler Galpin 
Percy Hynes White,actor/actress: Xavier Thorpe 
Georgie Farmer,actor/actress: Ajax Petropolus 
Johnna Dias-Watson,actor/actress: Divina 
Oliver Watson,actor/actress: Kent 
Victor Dorobantu,actor/actress: Thing 
Moosa Mostafa,actor/actress: Eugene Ottinger 
Daniel Himschoot,actor/actress: Hyde Monster 
Luyanda Unati Lewis-Nyawo,actor/actress: Deputy Ritchie Santiago 
Iman Marson,actor/actress: Lucas 
Calum Ross,actor/actress: Rowan Laslow 
Cezar Grumazescu,actor/actress: Coach Vlad 
Tommie Earl Jenkins,actor/actress: Mayor Noble Walker 
Catherine Zeta-Jones,actor/actress: Morticia Addams 
Morgan Beale,actor/actress: Jonah 
George Burcea,actor/actress: Lurch 
Islam Bouakkaz,actor/actress: Carter 
William Houston,actor/actress: Joseph Crackstone 
Karina Varadi,actor/actress: Wednesday (6yo)  
Rina Mahoney,actor/actress: Janet Ottinger 
Georgia Goodman,actor/actress: Sue Ottinger 
Murray McArthur,actor/actress: Fabian 
Fred Armisen,actor/actress: Uncle Fester 
Luis Guzm�n,actor/actress: Gomez Addams 
Olimpia Malai,actor/actress: The Minister 
Isaac Ordonez,actor/actress: Pugsley Addams 
Nitin Ganatra,actor/actress: Dr. Anwar 
Lucius Hoyos,actor/actress: Young Gomez 
Cheherezade Valentine Okotaka Ebale,actor/actress: Lou-Anne Walker 
Oliver Wickham,actor/actress: Young Larissa Weems 
Edward Kennedy,actor/actress: MC Blood Suckaz 
Ismail Kesu,actor/actress: Young Sheriff Walker 
Caroline Lawrie,actor/actress: Martha 
Lachele Carl,actor/actress: Agnes 
Gwen Jones,actor/actress: Young Morticia Addams 
Lisa O'Hare,actor/actress: Arlene 
Sophia Nomvete,actor/actress: Connie Jorgensen 
Ichir� Y�ki,actor/actress: Kenichi Tanaka 
Amanda Drew,actor/actress: Esther Sinclair 
Ryan Ellsworth,actor/actress: Murray Sinclair 
Gloria Garcia,actor/actress: Goody's Mom 
Gracy Goldman,actor/actress: Gabrielle 
Lewis Hayes,actor/actress: Garett Gates 
Philip Rosch,actor/actress: Ansel Gates 
Michael Okele,actor/actress: Morga(uncredited) 
Chloe Cate,actor/actress: Studen(uncredited) 
Kayla Alpert,executive producer 
Gail Berman,executive producer 
Tim Burton,executive producer 
Jonathan Glickman,executive producer 
Carla Gonz�lez Vargas,co-executive producer 
Alfred Gough,executive producer 
Tommy Harper,executive producer 
Nick Iannelli,co-producer 
Kevin Lafferty,executive producer 
Miles Millar,executive producer 
David Minkowski,co-executive producer 
Kevin Miserocchi,executive producer 
Andrew Mittman,executive producer 
Carmen Pepelea,producer 
Steve Stark,executive producer 
Natalie Testa,associate producer 
Todd Williams,co-executive producer 
Chris Bacon,music 
Danny Elfman,music 
Stephan Pehrsson,cinematography 
David Lanzenberg,cinematography 
Ana Yavari,film editing 
Jay Prychidny,film editing 
Paul G. Day,film editing 
Florina Fernandes,casting 
Sophie Holland,casting 
John Papsidera,casting 
Mark Scruton,production design 
Adrian Curelea,supervising art director 
Ghinea Diana,art direction 
Silvia Nancu,art direction 
Andrei-Florian Popa,assistant art director / additional standby art director 
Serban Porupca,senior art director 
Vlad Roseanu,on-set art director / art director 
Roxana Alexandru,art direction 
Carmen Ratoi,art direction 
Laurentiu Zarnoianu,set direction 
David Morison,set direction 
Rob Hepburn,set direction 
Colleen Atwood,costume design 
Bianca Boeroiu,makeup artist 
Catalin Ciutu,hair stylist supervisor: crowd 
Natalie L Costello,special makeup effects artist 
Julian Hutcheson,special makeup effects artist 
Nirvana Jalalvand,hair & makeup artist: main team 
Grace McComisky,prosthetic artist / prosthetic makeup artist 
Tara McDonald,hair & makeup designer 
Dominic Mombrun,dental effects designer & fabricator 
Angela Ruiz Morales,prosthetics artist 
Paraschiv Oana,makeup artist 
Alexandru Sassu,assistant makeup artist 
Bas Schwarz,special effects makeup artist: mouldmaker & props 
Rub�n Serra,special makeup effects artist 
Margo Stefan,hair stylist 
Viktoria Stieber,prosthetic makeup artist 
Sinead Sweeney,SFX contact lens coordinator 
Iuliana Temelie,hair stylist 
Clara Tudose,hair & makeup artist 
Raquel �lvarez,prosthetic makeup sculptor 
Freda Ellis,makeup supervisor 
Ripley Dale-Gulston,junior hair & makeup artist 
Olimpia Stoicea,hair & makeup artist: main team 
Tia Costell,junior hair & makeup artist 
Susan Cole,personal hair stylist: Luis Guzman 
Jean Carlos de Blas,key hair & makeup artist 
Gabriella Havens,makeup artist 
Sheherezada Kouchaki,makeup artist 
Raluca Moldoveanu,makeup artist 
Andrea Dardea Tesdall,special makeup effects artist 
Nicoleta Toader,hair stylist: cast 
Natalie Fox,additional hair & makeup artist 
Niki De Jong,prosthetic makeup artist 
Ionel Popa,special makeup effects artist 
Athina Sapanidis,prosthethic makeup artist 
Razvan Badea,unit production manager / production manager 
Irene Iovan Calangiu,health & safety unit production manager: covid 
Alexandru Cseh,production manager: second unit 
Emma Mallett,unit production manager: additional photography 
Alexandru Acsinte,assistant director 
Emilie Balusson,second second assistant director / co-second assistant director 
Bianca Bumbacea,assistant director 
Simona Dinu,second assistant director 
Mariana Grama,crowd second assistant director 
Mircea Hategan,first assistant director 
Stefania Ispas,trainee assistant director 
Loyzo,third assistant director 
Raphael Tudor,third assistant director 
Costin Sforaru,assistant director 
Sabina Balan,crowd first assistant director 
Brett Chan,second unit director 
Ada Dumitru,cast assistant 
Emyr Glyn Rees,second assistant director / first assistant director 
Jessica Kirec,second assistant director 
George Walker,first assistant director 
Richard O'Brien-Moran,first assistant director 
Mihaela Ionita,second assistant director 
Alexandra Popa,crowd second assistant director 
Alexandru Trandafira,crowd assistant director 
Sucioaia Alexandra,set dressing painter 
Tache Alexandru,graphic designer 
Corneliu Mihai Bonciu,sculptor 
Rachel Garlick,storyboard artist 
Florin Gavrila,lead set dressing painter 
Adi Handac,property master 
Dana Ilie,art department manager 
Alexandru Titus Ipate,action vehicles supervisor 
Simona Maican,art department coordinator 
Cristian Mihaila,assistant set decorator / set decoration buyer 
Cosmin Miroiu,head of greenery 
Amalia Mititelu,set dressing painter 
Pietro Nume,concept artist 
Iulia Petrescu,assistant set decorator 
Madalina Ripanu,clearance coordinator 
Geaniloni Sandru,lead painter 
Eusebiu Sirbu,head graphic designer 
Cristina Stefan,graphic designer 
Alexandra Tudor,assistant art director 
Laurentiu Zarnoianu,leadman 
Liviu Antonescu,graphic designer 
Madalina Ciosu,set designer 
Tudor Iordachescu,set designer 
Anca Iscru,set designer 
Ana Neag,assistant art director 
Iulia Pasarica,assistant art director 
Andreea Siminea,set designer 
Amy Lockwood,assistant set decorator 
Andrew Cherry,storyboard artist 
Cristian Darstar,storyboard artist 
Adrian Curelea,supervising art director 
Serban Porupca,senior art director 
Radu Costache,assistant property master 
Jennifer Keen,first set decoration buyer 
Karen Krizanovich,production design researcher 
Ben Livingstone,illustrator 
Yohann Angelvy,french casting mixer 
Michael Baskerville,re-recording mixer 
Nicolae Comarzan,sound mixer: second unit 
Tony Diaz,adr mixer 
Arturo A. Fuenmayor,re-recording mix assistant / additional re-recording mixer 
Alastair Gray,dialogue editor 
Justin Helle,foley mixer 
John Loranger,supervising sound editor 
Liviu Lupsa,sound mixer 
Kristi McIntyre,adr editor / sound effects editor 
Sean Miller,adr recordist 
Faustine Pelipel,assistant sound editor 
Dan Sexton,sound effects editor 
Alex Stylianou,adr recordist 
Jamie Sulek,re-recording mixer 
Mike Tehrani,adr mixer 
Marcus Byrne,adr mixer 
Greg Crawford,adr mixer 
Juan Martin Del Campo,adr mixer 
Tim McKeever,adr mixer 
Simon Diggins,adr mixer 
Jonathan Gomez,adr mixer 
Nathan Jackson,foley editor 
William Kellerman,foley artist 
Leslie Liu,adr mixer 
Ana Quiroga,audio coordinator (uncredited) 
Dan Barcutean,special effects technician 
Max Costello,special effects technician 
Florin Stoian,special effects technician 
Harry Troughton,special effects coordinator 
Jason Troughton,special effects supervisor 
Adrian Nica,lead technician 
Ilinca Angelescu,special effects makeup 
Yovko Dogandjiiski,special effects supervisor 
Antonia Tocheva,special effects office coordinator 
Matthew Adams,digital compositor: Ghost VFX Toronto 
Oana Bardan,visual effects coordinator 
Craig Calvert,visual effects supervisor: Mr. X 
Kevin Chandoo,head of studio: Ghost VFX Toronto 
Nick Colangelo,visual effects producer: Mr. X 
John Coldrick,visual effects supervisor: Rocket Science VFX 
Sam Cole,lighting lead: Mr. X 
Chris Cooper,cg supervisor: Mr. X 
Roger Dalupang,lead render wrangler/pipeline td 
Swedyl DSouza,visual effects production manager 
Maxime Ducharme,visual effects artist: MELS 
Paula Fanaia,digital compositor: Ghost VFX Toronto 
Mariah Fleetham,visual effects production assistant: Take 5 VFX 
Kathryn Foster,visual effects editor: Ghost VFX Toronto 
Ben Funk,lead compositor: Take 5 VFX 
Keith Goh,visual effects assistant editor: MPC 
Kari-Lyn Gravel,visual effects associate line producer: Stereo D 
Jon Howard,visual effects producer: Ghost VFX Toronto 
Kent Johnson,visual effects producer 
Anna Joukova,compositor: Take 5 VFX / visual effects compositor: Take 5 VFX 
Jesse Kawzenuk,on-set visual effects supervisor 
Grant Lee,visual effects supervisor: Stereo D 
Jake Lunt Davies,concept design 
Dumitrana Teodora Lupu,visual effects production assistant 
Amy Madigan,visual effects production manager: Stereo D 
Yael Majors,visual effects assistant supervisor: Stereo D 
Mariano Mendoza,assets lead: Mr. X 
Guillermo Molina,lead tools developer 
Skye Morandin,visual effects production manager: Stereo D 
Tom Nagy,animation supervisor: Mr. X 
Ken Nielsen,compositing supervisor: Ghost VFX Toronto 
Razvan Nineaca,data wrangler 
Anthony O'Connell,Render Wrangler 
Catalin Otelea,data wrangler 
Matei Ovejan,data wrangler 
Alessandro Pantanella,visual effects supervisor: Ghost VFX Toronto 
Travis Pond,compositor: Take 5 VFX 
Yawar Raja,layout lead: Mr. X 
Aditya Sawant,visual effects coordinator: Ghost VFX Toronto 
Matt Schofield,vfx head of operations 
Ksenia Shutova,compositor: Take 5 VFX 
Mark Simone,visual effects producer: Stereo D 
Denis St-Pierre,compositor: Take 5 VFX 
Ryan Terk,Senior Visual Effects Coordinator / visual effects coordinator: MELS 
Jason Teske,rigging lead: Mr. X 
Tom Turnbull,visual effects supervisor 
Fabi�n Varela,visual effects producer: Ghost VFX Toronto 
Kelly Weisz,visual effects studio manager: Take 5 VFX 
Angela Zhang,visual effects production manager: Mr. X 
Kayden Anderson,visual effects producer: Rocket Science VFX 
Eddie Englander,visual effects supervisor: Monsters Aliens Robots Zombies 
Rashid Khallouk,compositing lead: Mr. X 
Timothy Mah,visual effects editor: Rocket Science VFX 
Michael Osuszek,visual effects coordinator: Rocket Science VFX 
Rodrigo Paiva,compositing lead: Monsters Aliens Robots Zombies 
Suresh Pandi,lead compositor: Rocket Science VFX / compositor: Rocket Science VFX 
Francois Robert,matchmove/layout artist: MELS 
Adam Smith,lead compositor: Rocket Science VFX 
Sarvesh Amre,visual effects production manager: NetFX Mumbai 
Beno�t Bri�re,visual effects supervisor: MELS 
Paul Chambers,assets supervisor: Monsters Aliens Robots Zombies 
Dipak Gaur,digital compositor: Ghost VFX Toronto 
Taraknath Ghosh,paint artist: Stereo D 
Baz Lanaris,cg supervisor: MELS 
Prateek Mishra,paint artist: Stereo D 
Erin Nicholson,cg supervisor: Ghost VFX Toronto 
Bikram Singh,paint artist: Stereo D 
Khushroo Surveyor,visual effects lighter: Rocket Science VFX 
Ramesh Kumar Yanagandhula,paint artist: Stereo D 
Lynx Zuo,digital compositor: Ghost VFX Toronto 
Patti Gannon,compositor: Take 5 VFX 
Tanya Haddad,visual effects producer: Folks VFX 
JoAnna Johnson,compositor: Rocket Science VFX 
Luca Lim Diniz,visual effects artist: MELS 
Brodie McNeill,visual effects supervisor: Folks VFX 
Tabata Ortiz,visual effects artist: MELS 
Nishant Patel,visual effects lighter: Rocket Science VFX 
Umapathy Rajarathinam,compositor: Rocket Science VFX 
Genesis Rivas,compositor: Take 5 VFX 
Manish Rohith,compositing artist: Monsters Aliens Robots Zombies 
Luca Gabriele Rossetti,digital matte painter/environment supervisor: Monsters Aliens Robots Zombies 
Salil Thapa,visual effects line producer: NetFX Mumbai 
Fran�ois Trudel,visual effects artist: MELS / visual effects supervisor: MELS 
Wesley While,compositor: Take 5 VFX 
Kaylie Whitcher,visual effects producer: Folks VFX 
Sarah Wormsbecher,visual effects executive producer: Folks VFX 
Summer Zong,cg supervisor: Folks VFX 
Oksana Andrulis,visual effects production manager: Folks VFX / animation coordinator: Folks VFX 
David Dionne,visual effects artist: MELS 
Josh George,fx lead: Folks VFX 
James Takashi Higuchi,lighting supervisor: Monsters Aliens Robots Zombies 
Christopher Jude,compositor: Rocket Science VFX 
Jos� Lasa,compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX 
Marco Lee,compositing supervisor: Folks VFX 
Dinaaz Mathur,visual effects production coordinator: NetFX Mumbai 
Ben McDougal,surfacing lead: Monsters Aliens Robots Zombies 
Sumit Mukherjee,paint supervisor: NetFX Mumbai 
Isha Nigam,head of production: NetFX Mumbai 
Ryan Jae Wook Park,layout supervisor: Folks VFX 
Gustavo Sanchez-Perez,fx supervisor: Monsters Aliens Robots Zombies 
Kyle Sim,head of 2d: Folks VFX 
Pankaj Umbarkar,junior paint lead: NetFX Mumbai 
Sahil Agrahari,junior paint artist: NetFX Mumbai 
Chris Archinet,visual effects artist: MELS 
Ajay Kumar Attinti,roto lead: NetFX Mumbai 
Samuel Boisvert,visual effects artist: MELS 
Reine Bourgault,visual effects artist: MELS 
Aakash Chaudhari,roto artist: NetFX Mumbai 
Dave David,animation artist: Monsters Aliens Robots Zombies 
Amod Diwakar,assistant visual effects line producer: Stereo D / visual effects assistant line producer: Stereo D 
Nadine Fr�ve,lead visual effects editor: Folks VFX / visual effects editor: Folks VFX 
Mark Goldberg,compositor 
Leonardo Andres Grabau Villalba,visual effects artist: MELS 
Jonathan Gr�goire,visual effects artist: MELS 
Jeanne Hebert,visual effects artist: MELS 
Pravin Hodage,2d supervisor: NetFX Mumbai 
Cory Humes,animation supervisor: Folks VFX 
Siddarth Jambhulkar,compositor: Rocket Science VFX 
Mukesh Joshi,senior i/o coordinator: NetFX Mumbai 
Simon Lecavalier,cg supervisor: MELS 
Christophe Longtin,visual effects artist: MELS 
Oleg Memukhin,fx supervisor: Folks VFX 
Waseem Mohammed,head of central production: Monsters Aliens Robots Zombies 
Dany Richard,visual effects artist: MELS 
Nisarg Suthar,lighting supervisor: Folks VFX 
Nitesh Sutrave,compositing supervisor: NetFX Mumbai 
Sarvesh Talekar,roto artist: NetFX Mumbai 
Himani Tyagi,junior paint artist: NetFX Mumbai 
Waseem Ahmad Khan,paint artist: Stereo D 
Rodrigo Albano,environment artist: Monsters Aliens Robots Zombies 
Don Carlo Alvir,animation artist: Monsters Aliens Robots Zombies 
Leanndro Amorim,compositing artist: Monsters Aliens Robots Zombies 
Seshadri Anand,tracking/layout lead: Monsters Aliens Robots Zombies 
Blake Anderson,visual effects supervisor: VFX Legion 
Schuyler Anderson,tracking/layout lead: Monsters Aliens Robots Zombies 
Edwin Arismendez,visual effects artist: MELS 
Jessica Bayliss,head of production: Monsters Aliens Robots Zombies 
Sudhakar Bhavanasi,deputy manager: Stereo D 
Alan Bisht,compositing artist: NetFX Mumbai 
William Blanchette,visual effects artist: MELS 
Jordan Boulais,visual effects artist: MELS 
J. Alan Bradshaw,head of cg: Monsters Aliens Robots Zombies 
Peter Braeley,digital matte painter: Folks VFX 
Charlotte Breton,visual effects editor: Folks VFX 
Alex Bronfman,sales lead: Monsters Aliens Robots Zombies 
Jonathan Bronfman,head of studio: Monsters Aliens Robots Zombies 
Dennis Chan,animation artist: Monsters Aliens Robots Zombies 
Hardik Chauhan,senior compositing artist: NetFX Mumbai 
Molly Chen,assets artist: Monsters Aliens Robots Zombies 
Sujesh V. Chitty,concept artist: Folks VFX 
Nolan Conrad,digital compositor: VFX Legion 
Andr�s Couturier,graphic artist: VFX Legion 
Madhu Dasyapu,assistant roto supervisor: Stereo D 
Rodrigo de Angelis,fx artist: Monsters Aliens Robots Zombies 
Sofia Diaz,lighting artist: Monsters Aliens Robots Zombies 
Maya Dumont-Deslandes,visual effects studio manager: MELS 
Abdullah Ecirli,compositing artist: Monsters Aliens Robots Zombies 
Manoj Kumar Elangovan,tracking & layout artist: Monsters Aliens Robots Zombies 
Michael Enzbrunner,animation lead: Monsters Aliens Robots Zombies 
Timothy Fleur,creature artist: Monsters Aliens Robots Zombies 
Adam Fok,rigging lead: Monsters Aliens Robots Zombies 
Gil Franco,assets artist: Monsters Aliens Robots Zombies 
Emily Funk,assets artist: Monsters Aliens Robots Zombies 
Antonio Gallardo,visual effects producer: VFX Legion 
Gregory Galliani,modeling lead: Monsters Aliens Robots Zombies 
Igor Garanovschii,matte painter: Rocket Science VFX 
